id,BLOOM_pred_hindi,BLOOM_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
1082,0.0,0.0,0.0,0.0,0
1098,0.0,0.0,0.0,0.0,1
1104,0.0,0.0,0.0,0.0,1
1104,0.0,0.0,0.0,0.0,1
1105,0.0,0.0,0.0,0.0,0
1106,0.0,0.0,0.0,0.0,0
1108,0.0,0.0,0.0,0.0,0
1114,0.0,0.0,0.0,0.0,1
1124,0.0,0.0,0.0,0.0,0
1138,0.0,0.0,0.0,0.0,0
1140,0.0,0.0,0.0,0.0,1
1141,0.0,0.0,0.0,0.0,0
1147,0.0,0.0,0.0,0.0,0
1151,0.0,0.0,0.0,0.0,0
1151,0.0,0.0,0.0,0.0,0
1153,0.0,0.0,0.0,0.0,0
1153,0.0,0.0,0.0,0.0,1
1159,0.0,0.0,0.0,0.0,0
1161,0.0,0.0,0.0,0.0,0
1171,0.0,0.0,0.0,0.0,0
1171,0.0,0.0,0.0,0.0,0
1172,0.0,0.0,0.0,0.0,1
1184,0.0,0.0,0.0,0.0,1
1184,0.0,0.0,0.0,0.0,0
1185,0.0,0.0,0.0,0.0,1
1193,0.0,0.0,0.0,0.0,0
1212,0.0,0.0,0.0,0.0,0
1212,0.0,0.0,0.0,0.0,0
1214,0.0,0.0,0.0,0.0,0
1214,0.0,0.0,0.0,0.0,1
1230,0.0,0.0,0.0,0.0,1
1243,0.0,0.0,0.0,0.0,1
1249,0.0,0.0,0.0,0.0,1
1267,0.0,0.0,0.0,0.0,1
1273,0.0,0.0,0.0,0.0,1
1274,0.0,0.0,0.0,0.0,1
1274,0.0,0.0,0.0,0.0,0
1279,0.0,0.0,0.0,0.0,0
1284,0.0,0.0,0.0,0.0,1
1285,0.0,0.0,0.0,0.0,0
1286,0.0,0.0,0.0,0.0,1
1286,0.0,0.0,0.0,0.0,0
1293,0.0,0.0,0.0,0.0,0
1306,0.0,0.0,0.0,0.0,1
1306,0.0,0.0,0.0,0.0,0
1310,0.0,0.0,0.0,0.0,0
1319,0.0,0.0,0.0,0.0,0
1335,0.0,0.0,0.0,0.0,0
1335,0.0,0.0,0.0,0.0,0
1340,0.0,0.0,0.0,0.0,1
1340,0.0,0.0,0.0,0.0,0
1341,0.0,0.0,0.0,0.0,1
1356,0.0,0.0,0.0,0.0,1
1360,0.0,0.0,0.0,0.0,0
1360,0.0,0.0,0.0,0.0,0
1367,0.0,0.0,0.0,0.0,1
1389,0.0,0.0,0.0,0.0,0
1398,0.0,0.0,0.0,0.0,0
1407,0.0,0.0,0.0,0.0,0
1407,0.0,0.0,0.0,0.0,0
1410,0.0,0.0,0.0,0.0,0
1413,0.0,0.0,0.0,0.0,1
1413,0.0,0.0,0.0,0.0,0
1413,0.0,0.0,0.0,0.0,1
1426,0.0,0.0,0.0,0.0,0
1431,0.0,0.0,0.0,0.0,0
1431,0.0,0.0,0.0,0.0,0
1431,0.0,0.0,0.0,0.0,0
