id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
10,0.0,0.0,0.0,0.0,0,1
23,0.0,0.0,0.0,0.0,0,1
23,0.0,0.0,0.0,0.0,0,1
30,0.0,0.0,0.0,0.0,0,1
30,0.0,0.0,0.0,0.0,0,1
30,0.0,0.0,0.0,0.0,0,0
39,0.0,0.0,0.0,0.0,0,1
49,0.0,0.0,0.0,0.0,1,1
56,0.0,0.0,0.0,0.0,1,0
59,0.0,0.0,0.0,0.0,1,1
59,0.0,0.0,0.0,0.0,1,0
76,0.0,0.0,0.0,0.0,0,1
78,0.0,0.0,0.0,0.0,1,0
83,0.0,0.0,0.0,0.0,0,1
86,0.0,0.0,0.0,0.0,1,0
101,0.0,0.0,0.0,0.0,0,0
107,0.0,0.0,0.0,0.0,0,0
109,0.0,0.0,0.0,0.0,1,0
113,0.0,0.0,0.0,0.0,1,1
136,0.0,0.0,0.0,0.0,1,1
136,0.0,0.0,0.0,0.0,1,1
139,0.0,0.0,0.0,0.0,1,1
139,0.0,0.0,0.0,0.0,1,0
141,0.0,0.0,0.0,0.0,1,0
158,0.0,0.0,0.0,0.0,0,1
168,0.0,0.0,0.0,0.0,0,1
168,0.0,0.0,0.0,0.0,0,0
192,0.0,0.0,0.0,0.0,0,0
192,0.0,0.0,0.0,0.0,0,0
198,0.0,0.0,0.0,0.0,1,0
210,0.0,0.0,0.0,0.0,0,1
243,0.0,0.0,0.0,0.0,1,1
243,0.0,0.0,0.0,0.0,1,1
273,0.0,0.0,0.0,0.0,0,1
273,0.0,0.0,0.0,0.0,0,1
277,0.0,0.0,0.0,0.0,1,1
290,0.0,0.0,0.0,0.0,1,1
294,0.0,0.0,0.0,0.0,0,0
294,0.0,0.0,0.0,0.0,0,1
296,0.0,0.0,0.0,0.0,1,1
306,0.0,0.0,0.0,0.0,0,1
309,0.0,0.0,0.0,0.0,1,1
309,0.0,0.0,0.0,0.0,1,0
318,0.0,0.0,0.0,0.0,1,1
318,0.0,0.0,0.0,0.0,1,1
318,0.0,0.0,0.0,0.0,1,1
321,0.0,0.0,0.0,0.0,1,1
321,0.0,0.0,0.0,0.0,1,0
328,0.0,0.0,0.0,0.0,0,0
331,0.0,0.0,0.0,0.0,0,1
334,0.0,0.0,0.0,0.0,1,0
334,0.0,0.0,0.0,0.0,1,1
346,0.0,0.0,0.0,0.0,1,0
361,0.0,0.0,0.0,0.0,0,1
361,0.0,0.0,0.0,0.0,0,1
370,0.0,0.0,0.0,0.0,1,1
370,0.0,0.0,0.0,0.0,1,1
370,0.0,0.0,0.0,0.0,1,1
389,0.0,0.0,0.0,0.0,0,0
389,0.0,0.0,0.0,0.0,0,1
420,0.0,0.0,0.0,0.0,0,1
420,0.0,0.0,0.0,0.0,0,1
420,0.0,0.0,0.0,0.0,0,0
429,0.0,0.0,0.0,0.0,1,1
435,0.0,0.0,0.0,0.0,1,1
435,0.0,0.0,0.0,0.0,1,0
436,,,,,0,0
436,,,,,0,1
439,0.0,0.0,0.0,0.0,1,0
445,0.0,0.0,0.0,0.0,0,1
445,0.0,0.0,0.0,0.0,0,0
458,0.0,0.0,0.0,0.0,1,0
482,0.0,0.0,0.0,0.0,0,1
482,0.0,0.0,0.0,0.0,0,1
490,0.0,0.0,0.0,0.0,0,0
490,0.0,0.0,0.0,0.0,0,1
497,0.0,0.0,0.0,0.0,1,0
499,0.0,0.0,0.0,0.0,1,1
519,0.0,0.0,0.0,0.0,0,1
541,0.0,0.0,0.0,0.0,1,1
551,0.0,0.0,0.0,0.0,1,1
552,0.0,0.0,0.0,0.0,1,0
561,0.0,0.0,0.0,0.0,0,1
566,0.0,0.0,0.0,0.0,0,0
570,0.0,0.0,0.0,0.0,0,1
576,0.0,0.0,0.0,0.0,0,0
576,0.0,0.0,0.0,0.0,0,1
581,0.0,0.0,0.0,0.0,1,1
583,0.0,0.0,0.0,0.0,1,1
585,0.0,0.0,0.0,0.0,0,1
589,0.0,0.0,0.0,0.0,1,0
601,0.0,0.0,0.0,0.0,1,1
616,0.0,0.0,0.0,0.0,1,0
616,0.0,0.0,0.0,0.0,1,1
631,0.0,0.0,0.0,0.0,0,1
634,0.0,0.0,0.0,0.0,1,0
634,0.0,0.0,0.0,0.0,1,1
636,0.0,0.0,0.0,0.0,0,1
636,0.0,0.0,0.0,0.0,0,0
636,0.0,0.0,0.0,0.0,0,1
650,0.0,0.0,0.0,0.0,1,0
656,0.0,0.0,0.0,0.0,0,1
656,0.0,0.0,0.0,0.0,0,0
668,0.0,0.0,0.0,0.0,0,0
668,0.0,0.0,0.0,0.0,0,0
673,0.0,0.0,0.0,0.0,0,0
673,0.0,0.0,0.0,0.0,0,1
693,0.0,0.0,0.0,0.0,1,1
707,0.0,0.0,0.0,0.0,1,1
718,0.0,0.0,0.0,0.0,1,1
